correct,level,model,item_id,template
1,1,exaone3.5,2030210,1
1,1,exaone3.5,914655,1
1,1,exaone3.5,5910892,1
1,1,exaone3.5,6750411,1
1,1,exaone3.5,10143129,1
1,1,exaone3.5,7954386,1
1,1,exaone3.5,9758162,1
1,1,exaone3.5,4882596,1
1,1,exaone3.5,7940699,1
1,1,exaone3.5,6828441,1
1,5,exaone3.5,2030210,1
1,5,exaone3.5,914655,1
1,5,exaone3.5,5910892,1
1,5,exaone3.5,6750411,1
1,5,exaone3.5,10143129,1
1,5,exaone3.5,7954386,1
1,5,exaone3.5,9758162,1
1,5,exaone3.5,4882596,1
1,5,exaone3.5,7940699,1
1,5,exaone3.5,6828441,1
1,6,exaone3.5,2030210,1
1,6,exaone3.5,914655,1
1,6,exaone3.5,5910892,1
1,6,exaone3.5,6750411,1
1,6,exaone3.5,10143129,1
1,6,exaone3.5,7954386,1
1,6,exaone3.5,9758162,1
1,6,exaone3.5,4882596,1
1,6,exaone3.5,7940699,1
1,6,exaone3.5,6828441,1
1,1,exaone3.5,3934251,1
1,1,exaone3.5,9060235,1
1,1,exaone3.5,6102849,1
1,1,exaone3.5,7009160,1
1,1,exaone3.5,1067636,1
1,1,exaone3.5,9248473,1
1,1,exaone3.5,9761768,1
1,1,exaone3.5,9766867,1
1,1,exaone3.5,4841316,1
1,1,exaone3.5,6888656,1
1,1,exaone3.5,7241725,1
1,1,exaone3.5,4692974,1
1,1,exaone3.5,9412470,1
1,1,exaone3.5,7218545,1
1,1,exaone3.5,7856297,1
1,1,exaone3.5,8774561,1
1,1,exaone3.5,973044,1
1,1,exaone3.5,3740891,1
1,1,exaone3.5,9413673,1
1,1,exaone3.5,6538259,1
1,1,exaone3.5,9159475,1
1,1,exaone3.5,8042435,1
1,1,exaone3.5,6836069,1
1,1,exaone3.5,8446454,1
1,1,exaone3.5,9926058,1
1,1,exaone3.5,320204,1
1,1,exaone3.5,3646788,1
1,1,exaone3.5,8758439,1
1,1,exaone3.5,7047748,1
1,1,exaone3.5,3245296,1
1,1,exaone3.5,10126477,1
1,1,exaone3.5,7325730,1
1,1,exaone3.5,9639578,1
1,1,exaone3.5,474946,1
1,1,exaone3.5,8718689,1
1,1,exaone3.5,9244603,1
1,1,exaone3.5,7930732,1
1,1,exaone3.5,9791770,1
1,1,exaone3.5,7511250,1
1,1,exaone3.5,1125767,1
1,1,exaone3.5,3542505,1
1,1,exaone3.5,500816,1
1,1,exaone3.5,4935402,1
1,1,exaone3.5,539212,1
1,1,exaone3.5,10178837,1
0,1,exaone3.5,9737016,1
1,1,exaone3.5,8582908,1
1,1,exaone3.5,9175645,1
1,1,exaone3.5,6971234,1
1,1,exaone3.5,4296562,1
1,1,exaone3.5,7795160,1
1,1,exaone3.5,843964,1
0,1,exaone3.5,2066879,1
1,1,exaone3.5,1395676,1
1,1,exaone3.5,4058709,1
1,1,exaone3.5,8350531,1
1,1,exaone3.5,9095282,1
1,1,exaone3.5,752765,1
1,1,exaone3.5,8004046,1
1,1,exaone3.5,6369745,1
1,1,exaone3.5,9588393,1
1,1,exaone3.5,9247270,1
1,1,exaone3.5,4948553,1
1,1,exaone3.5,4511988,1
1,1,exaone3.5,499000,1
1,1,exaone3.5,7365320,1
1,1,exaone3.5,8997069,1
1,1,exaone3.5,6760625,1
1,1,exaone3.5,4572495,1
0,1,exaone3.5,10012153,1
1,1,exaone3.5,8673771,1
1,1,exaone3.5,10055906,1
1,1,exaone3.5,4144686,1
1,1,exaone3.5,9665984,1
1,1,exaone3.5,4425591,1
1,1,exaone3.5,10016425,1
1,1,exaone3.5,5781544,1
1,1,exaone3.5,2702191,1
1,1,exaone3.5,3083762,1
1,1,exaone3.5,10077930,1
1,1,exaone3.5,9832413,1
0,1,exaone3.5,3089508,1
1,1,exaone3.5,9128630,1
1,1,exaone3.5,10009651,1
1,1,exaone3.5,10077480,1
1,1,exaone3.5,1544485,1
0,1,exaone3.5,9715210,1
1,1,exaone3.5,5451980,1
1,1,exaone3.5,2008912,1
0,1,exaone3.5,4252405,1
0,1,exaone3.5,530560,1
1,1,exaone3.5,9089001,1
1,1,exaone3.5,1612441,1
1,1,exaone3.5,6040364,1
1,1,exaone3.5,9476582,1
1,1,exaone3.5,5979675,1
1,1,exaone3.5,1125381,1
1,1,exaone3.5,3888867,1
1,1,exaone3.5,5735949,1
1,1,exaone3.5,10274363,1
